嗀 U+55C0
嗄 U+55C4
嗅 U+55C5
嗆 U+55C6
嗇 U+55C7
嗉 U+55C9
嗊 U+55CA
嗋 U+55CB
嗍 U+55CD
嗎 U+55CE
嗑 U+55D1
嗒 U+55D2
嗓 U+55D3
嗔 U+55D4
嗖 U+55D6
嗘 U+55D8
嗚 U+55DA
嗛 U+55DB
嗜 U+55DC
嗝 U+55DD
嗞 U+55DE
嗟 U+55DF
嗡 U+55E1
嗣 U+55E3
嗤 U+55E4
嗥 U+55E5
嗦 U+55E6
嗨 U+55E8
嗩 U+55E9
嗫 U+55EB
嗬 U+55EC
嗯 U+55EF
嗰 U+55F0
嗲 U+55F2
嗳 U+55F3
嗵 U+55F5
嗶 U+55F6
嗷 U+55F7
嗻 U+55FB
嗼 U+55FC
嗽 U+55FD
嗾 U+55FE
嘀 U+5600
嘁 U+5601
嘆 U+5606
嘈 U+5608
嘉 U+5609
嘍 U+560D
嘎 U+560E
嘑 U+5611
嘓 U+5613
嘔 U+5614
嘖 U+5616
嘗 U+5617
嘘 U+5618
嘚 U+561A
嘛 U+561B
嘜 U+561C
嘞 U+561E
嘟 U+561F
嘡 U+5621
嘢 U+5622
