vocabulary,originalEntry,explanation,example,pinYin,location,place,source
……勿来(……勿來),[原写法即现写法],[助词]用在动词之后，表示不会，不能够（[助詞]用在動詞之後，表示不會，不能夠）,（做～，講～）。,veq¹ le²³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
……勿煞(……勿煞),[原写法即现写法],[助词]用在某些双音节动词后，表示“没有什么值得……的” （[助詞]用在某些雙音節動詞後，表示“沒有什麼值得……的”）,（稀奇～，賣樣～）。,veq¹ saq²(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
……吓墩(……嚇墩),[原写法即现写法],……hæʔ⁵⁵ ɗəŋ⁵³ ……那儿：娘~。（……hæʔ⁵⁵ ɗəŋ⁵³ ……那儿：娘~。）,[暂无],……haeq ten (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
……着眼(……着眼),[原写法即现写法],……zæʔ⁵⁵ ŋɛ⁵³ ……了些：豇豆咸~。（……zæʔ⁵⁵ ŋɛ⁵³ ……了些：豇豆鹹~。）,[暂无],……zaeq ngae (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
……足势盈(……足勢盈),[原写法即现写法], ……tsoʔ⁵⁵ sɿ³³ ɦəŋ²¹ 很多，作补语。（……tsoʔ⁵⁵ sɿ³³ ɦəŋ²¹ 很多，作補語。）,[暂无],……tsoq sy yen (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
…来西…(…來西…),…來西…,[副词]得很：好~ | 坏~ （[副詞]得很：好~ | 壞~）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
…煞…死(…煞…死),…煞…死,[副词]横…竖…：我做煞做死，还不是为了侬搭（[副詞]橫…豎…：我做煞做死，還不是爲了儂搭）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
…煞快…(…煞快…),…煞快…,[副词]很厉害：我做~ | 伊叫我恨~勒（[副詞]很厲害：我做~ | 伊叫我恨~勒）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
AA制(AA制),[原写法即现写法],e⁵⁵ e³³ tsɿ²¹ （e⁵⁵ e³³ tsɿ²¹）,[暂无],e e tsy (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
cia mi(cia mi),[原写法即现写法],类似树莓。（类似树莓。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
cia mi(cia mi),[原写法即现写法],类似树莓。（类似树莓。）,[暂无],拼音暂无(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
cin5(cin5),[原写法即现写法],①日照强烈（①日照強烈）,[暂无],cin³⁵(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
cin5(cin5),[原写法即现写法],②声音清晰（②聲音清晰）,[暂无],cin³⁵(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
daen2(daen2),daen2,[动作、变化]奶胀（[動作、變化]奶脹）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
den6(den6),den6,[动作、变化]反语冷嘲（[動作、變化]反語冷嘲）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
fae(fae),[原写法即现写法],扇（耳光） （扇（耳光））,[暂无],拼音暂无(IPA暂无),华娄小片,金山·朱泾,朱泾镇【散记】
fu台子(fu檯子),[原写法即现写法],搬桌子（搬桌子）,[暂无],拼音暂无(IPA暂无),华娄小片,奉贤·西渡,西渡镇【散记】
gan(gan),gan,[动作]擦著：侬勒浪~点啥，阿是身浪有白虱？（[動作]擦著：儂勒浪~點啥，阿是身浪有白虱？）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
gan恶虫(gan惡蟲),gan屙蟲,[动物]屎克螂（[動物]屎克螂）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
gaon臂膊(gaon臂膊),[原写法即现写法],两人肘部相撞，比较力气大小（兩人肘部相撞，比較力氣大小）,[暂无],gaon²² pi⁵⁵ baoq³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
gau6](gau6]),[原写法即现写法],叉形，表示错误（叉形，表示錯誤）,[暂无],gau¹³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
